artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),000TJlEJQ3nafsm1hBWpoj,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,56,True,0.62,0.586,C#/Db,-6.612,Major,0.212,0.155,0.0,0.535,0.487,137.131,4,42 Dugg,Album Deluxe,02:10,2023,March,Friday
"Tyler, The Creator",IFHY (feat. Pharrell),2xZcwCCcf3tZWXW4yABBkI,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,48,True,0.345,0.691,D,-6.62,Major,0.3,0.228,0.0,0.547,0.295,76.876,4,Pharrell Williams,Instrumental Album,05:19,2013,April,Monday
"Tyler, The Creator",RUN (feat. Chaz Bundick & ScHoolboy Q),586xfl7VsCFPD9z5iJoKEp,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,48,True,0.411,0.909,B,-5.234,Minor,0.169,0.00178,0.0,0.794,0.473,145.966,4,"Chaz Bundick, ScHoolboy Q",Studio Album,01:09,2015,April,Monday
"Tyler, The Creator",Burger,5zjMSaWC8t8XEedXBAiFUr,Goblin,5dbCm8qaCdWnNdVyi3urUO,2011-05-09,43,True,0.709,0.563,G#/Ab,-10.119,Major,0.357,0.178,0.0,0.132,0.324,73.011,4,Hodgy,Studio Album,03:49,2011,May,Monday
"Tyler, The Creator",Whoville,0W4FJRyxu6MKl8kKk3p3sj,Music Inspired by Illumination & Dr. Seuss' The Grinch,05qQ4Sl7LjxDhZFB1ChVvH,2018-11-16,44,False,0.495,0.271,A,-10.082,Major,0.0465,0.947,0.706,0.0929,0.201,180.3,3,,EP,01:13,2018,November,Friday
"Tyler, The Creator",Steak Sauce,2WBHjwYSh04TLOwxgtny1O,Goblin,5dbCm8qaCdWnNdVyi3urUO,2011-05-09,41,True,0.663,0.636,F#/Gb,-9.768,Minor,0.355,0.0526,0.0,0.272,0.28,95.898,4,,Studio Album,03:22,2011,May,Monday
"Tyler, The Creator",She,6XbRv7v36koV366CtDzGhU,Goblin,3scNeGKz8kAMDrYG5U971b,2011-05-09,45,True,0.35,0.621,G#/Ab,-6.495,Minor,0.233,0.256,3.44e-05,0.613,0.459,83.375,4,Frank Ocean,Studio Album,04:13,2011,May,Monday
"Tyler, The Creator",Window,0hHDsP3aHpnOq4uvCdiCdC,Goblin,5dbCm8qaCdWnNdVyi3urUO,2011-05-09,48,True,0.505,0.508,G,-11.191,Major,0.449,0.11,0.0,0.283,0.206,132.304,4,"Domo Genesis, Frank Ocean, Hodgy, Mike G",Studio Album,08:00,2011,May,Monday
"Tyler, The Creator",PILOT (feat. Sydney Bennett),332Yig3HD2IdDigzlf5Ndl,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,52,True,0.596,0.869,F,-2.389,Minor,0.0621,6.32e-05,0.0493,0.0476,0.545,109.995,4,Syd,Studio Album,03:29,2015,April,Monday
"Tyler, The Creator",Tell Me How (Coca-Cola Commercial),5pFSH7k21DTVSNMRsZum5C,Tell Me How (Coca-Cola Commercial),0s6x43akIIRH0fTOFxT7xq,2021-03-05,42,False,0.79,0.497,D,-11.531,Major,0.113,0.0537,0.118,0.195,0.0762,119.936,4,,Single,02:15,2021,March,Friday
